[2025-04-23 19:41:08] eth:ethertype:ip:tcp 13.107.246.33:443 -> 172.16.9.35:50592 | Possível SYN
[2025-04-23 19:41:09] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:11] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:15] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:16] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:17] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:18] eth:ethertype:ip:tcp 172.16.12.236:43664 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:19] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:19] eth:ethertype:ip:tcp 172.16.12.236:43666 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:21] eth:ethertype:ip:tcp 172.16.12.236:43668 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:22] eth:ethertype:ip:tcp 172.16.12.236:43670 -> 172.16.2.4:31337 | Possível SYN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 13.107.246.34:443 -> 172.16.9.35:48072 | Possível FIN
[2025-04-23 19:41:23] eth:ethertype:ip:tcp 172.16.9.35:48072 -> 13.107.246.34:443 | Possível FIN
[2025-04-23 19:41:24] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.3.131: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:36] eth:ethertype:ip:tcp 172.16.12.236:44789 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:38] eth:ethertype:ip:tcp 172.16.12.236:44791 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:39] eth:ethertype:ip:tcp 172.16.12.236:44793 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:39] eth:ethertype:ip:tcp 172.16.9.35:50894 -> 157.249.81.141:443 | Possível SYN
[2025-04-23 19:41:40] eth:ethertype:ip:tcp 172.16.12.236:44795 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:41] eth:ethertype:ip:tcp 172.16.12.236:44797 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:42] eth:ethertype:ip:tcp 172.16.12.236:44799 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:44] eth:ethertype:ip:tcp 172.16.12.236:44801 -> 172.16.2.4:1068 | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 255.255.255.255: | Possível SYN
[2025-04-23 19:41:49] eth:ethertype:ip:udp:db-lsp-disc:json 172.16.11.33: -> 172.16.63.255: | Possível SYN
[2025-04-23 19:41:56] eth:ethertype:ip:udp:mdns 172.16.8.80: -> 224.0.0.251: | Possível SCAN
[2025-04-23 19:41:57] eth:ethertype:ip:tcp 172.16.12.236:43660 -> 172.16.2.4:3689 | Possível SYN
[2025-04-23 19:41:58] eth:ethertype:ip:tcp 172.16.12.236:43662 -> 172.16.2.4:3689 | Possível SYN
